addr          name                           size  callers
------------------------------------------------------------------------------------------
0050:0020     entry_stage2                      3  Entry Point
0050:0023     FUN_0050_0023                     8  FUN_0050_0080
0050:002b     FUN_0050_002b                    11  FUN_0050_267b
0050:0058     FUN_0050_0058                    15  FUN_0050_2c0f
0050:0067     FUN_0050_0067                    25  FUN_0050_0080
0050:0080     FUN_0050_0080                   298  entry_stage2
0050:01b1     FUN_0050_01b1                    50  FUN_0050_0080
0050:01e3     FUN_0050_01e3                    27  FUN_0050_0080
0050:01fe     FUN_0050_01fe                    37  FUN_0050_01e3,FUN_0050_04e0
0050:0223     FUN_0050_0223                    76  FUN_0050_0080
0050:026f     FUN_0050_026f                   205  FUN_0050_0223,FUN_0050_026f
0050:033c     FUN_0050_033c                    54  FUN_0050_01e3
0050:0372     FUN_0050_0372                    18  FUN_0050_033c
0050:0384     FUN_0050_0384                    44  FUN_0050_0372
0050:03b0     FUN_0050_03b0                   118  FUN_0050_01e3,FUN_0050_080b
0050:0427     FUN_0050_0427                    15  FUN_0050_0080
0050:0436     FUN_0050_0436                    20  FUN_0050_0427,FUN_0050_0436
0050:044a     FUN_0050_044a                    80  FUN_0050_0080
0050:049e     FUN_0050_049e                    45  FUN_0050_f840
0050:04d0     FUN_0050_04d0                     1  FUN_0050_2be0
0050:04e0     FUN_0050_04e0                   132  FUN_0050_0080
0050:0564     FUN_0050_0564                    46  FUN_0050_04e0
0050:0592     FUN_0050_0592                   125  FUN_0050_04e0
0050:0610     FUN_0050_0610                   294  FUN_0050_0592
0050:0737     FUN_0050_0737                    25  FUN_0050_0564,FUN_0050_0592,FUN_0050_0610,FUN_0050_0750
0050:0750     FUN_0050_0750                    39  FUN_0050_a2d4
0050:0778     FUN_0050_0778                    54  FUN_0050_0610
0050:07ae     FUN_0050_07ae                    36  FUN_0050_0564,FUN_0050_0592,FUN_0050_0610
0050:07d2     FUN_0050_07d2                    23  FUN_0050_0564
0050:07e9     FUN_0050_07e9                    11  FUN_0050_0592,FUN_0050_07e9
0050:07f4     FUN_0050_07f4                    23  FUN_0050_0750,FUN_0050_0778
0050:080b     FUN_0050_080b                    71  FUN_0050_04e0
0050:0860     FUN_0050_0860                    54  FUN_0050_0860,FUN_0050_40bd
0050:0896     key_read_wrapper                 10  FUN_0050_07d2,FUN_0050_07e9,FUN_0050_0860
0050:08a0     key_read_char                    64  
0050:08ef     FUN_0050_08ef                    57  FUN_0050_2c70
0050:092e     FUN_0050_092e                    63  FUN_0050_0080
0050:096d     FUN_0050_096d                    77  FUN_0050_0080,FUN_0050_04e0,FUN_0050_1847
0050:09ba     FUN_0050_09ba                    38  FUN_0050_3760
0050:09e0     kbd_flush_buffer                 13  kbd_flush_buffer
0050:09ed     FUN_0050_09ed                    16  FUN_0050_0fd4,FUN_0050_1088,FUN_0050_10c0,FUN_0050_1d31
0050:09ff     FUN_0050_09ff                    71  FUN_0050_09ed,FUN_0050_4116
0050:0a46     FUN_0050_0a46                    55  FUN_0050_09ed
0050:0a7d     glyph_blit_cga                   32  FUN_0050_07f4,FUN_0050_09ff,FUN_0050_0a46,FUN_0050_0cce
0050:0a9d     glyph_cell_write                 87  
0050:0af4     FUN_0050_0af4                   217  FUN_0050_0a46
0050:0bcd     FUN_0050_0bcd                   257  FUN_0050_09ff,FUN_0050_0a46
0050:0cce     FUN_0050_0cce                    59  FUN_0050_09ed
0050:0d09     FUN_0050_0d09                   245  FUN_0050_0cce
0050:0dfe     FUN_0050_0dfe                    41  FUN_0050_07f4,FUN_0050_09ff,FUN_0050_0a46,FUN_0050_0cce
0050:0e79     FUN_0050_0e79                    17  FUN_0050_4c48
0050:0e8a     FUN_0050_0e8a                    23  FUN_0050_53b5
0050:0f15     FUN_0050_0f15                    15  FUN_0050_4c48
0050:0f24     FUN_0050_0f24                    21  FUN_0050_4116,FUN_0050_4900,FUN_0050_4a05,FUN_0050_53b5
0050:0fd4     FUN_0050_0fd4                    85  FUN_0050_0e79,FUN_0050_0e8a,FUN_0050_0f15,FUN_0050_0f24
0050:1029     FUN_0050_1029                     8  FUN_0050_2f33,FUN_0050_3593,FUN_0050_360c,FUN_0050_40bd,FUN_0050_537e,FUN_0050_53b5
0050:103b     FUN_0050_103b                     8  FUN_0050_2e30
0050:1044     FUN_0050_1044                    68  FUN_0050_1029,FUN_0050_103b,FUN_0050_4c48
0050:1088     FUN_0050_1088                    29  FUN_0050_1044,FUN_0050_1088,FUN_0050_3bf7
0050:10a5     FUN_0050_10a5                     8  FUN_0050_3fbd,FUN_0050_4116,FUN_0050_42a0,FUN_0050_4900,FUN_0050_4a05,FUN_0050_537e,FUN_0050_53b5
0050:10c0     FUN_0050_10c0                    57  FUN_0050_10a5,FUN_0050_10c0,FUN_0050_4c48
0050:10fc     FUN_0050_10fc                    58  FUN_0050_24bd,FUN_0050_2c0f,FUN_0050_2f43,FUN_0050_3683,FUN_0050_3760,FUN_0050_3939,FUN_0050_3bf7,FUN_0050_3ddf,key_read_wrapper
0050:1136     FUN_0050_1136                   110  FUN_0050_0080
0050:11a5     FUN_0050_11a5                   136  FUN_0050_0080,FUN_0050_36e5
0050:124b     FUN_0050_124b                    48  FUN_0050_1281,FUN_0050_1287
0050:1281     FUN_0050_1281                     6  FUN_0050_092e
0050:1287     FUN_0050_1287                     6  FUN_0050_096d
0050:128d     FUN_0050_128d                    19  FUN_0050_0080
0050:12a0     timer_isr_int1c                  72  
0050:12e8     FUN_0050_12e8                   409  FUN_0050_09ff,FUN_0050_0cce
0050:16f0     FUN_0050_16f0                    29  FUN_0050_4bb5
0050:16ff     FUN_0050_16ff                    28  FUN_0050_23b8
0050:1729     FUN_0050_1729                    50  FUN_0050_16f0,FUN_0050_23b8
0050:175b     FUN_0050_175b                   234  FUN_0050_0080,FUN_0050_36e5,FUN_0050_4bb5
0050:1847     FUN_0050_1847                   109  FUN_0050_460e
0050:18dd     FUN_0050_18dd                     9  FUN_0050_175b,FUN_0050_1847,FUN_0050_587e
0050:1954     FUN_0050_1954                    37  FUN_0050_3760
0050:197a     FUN_0050_197a                    89  FUN_0050_1954,FUN_0050_267b
0050:19d3     FUN_0050_19d3                    20  FUN_0050_197a,FUN_0050_19e7
0050:19e7     FUN_0050_19e7                   397  FUN_0050_01b1,FUN_0050_01e3,FUN_0050_0223,FUN_0050_3760
0050:1b74     FUN_0050_1b74                    58  FUN_0050_2c70
0050:1ba6     thunk_FUN_0050_1bb2               4  FUN_0050_1847,FUN_0050_1954
0050:1bb2     FUN_0050_1bb2                     4  thunk_FUN_0050_1bb2
0050:1bb6     FUN_0050_1bb6                    49  FUN_0050_1bb2
0050:1be8     FUN_0050_1be8                    85  FUN_0050_0080,FUN_0050_2c70
0050:1c62     FUN_0050_1c62                   129  FUN_0050_2c3f,FUN_0050_2c70
0050:1ce4     FUN_0050_1ce4                    77  FUN_0050_1c62
0050:1d31     FUN_0050_1d31                    40  FUN_0050_1ce4
0050:1d59     FUN_0050_1d59                    15  FUN_0050_1c62
0050:1f85     FUN_0050_1f85                   165  FUN_0050_202b
0050:202b     FUN_0050_202b                    57  FUN_0050_9ebc,FUN_0050_e9d7
0050:21ec     FUN_0050_21ec                   122  FUN_0050_1954
0050:23a8     FUN_0050_23a8                    16  FUN_0050_16f0,FUN_0050_23b8
0050:23b8     FUN_0050_23b8                    88  FUN_0050_3fbd
0050:2410     FUN_0050_2410                    41  FUN_0050_23b8
0050:2440     FUN_0050_2440                    86  FUN_0050_24bd,FUN_0050_261c
0050:2496     FUN_0050_2496                    15  FUN_0050_24bd
0050:24a5     FUN_0050_24a5                    24  FUN_0050_24bd
0050:24bd     FUN_0050_24bd                   107  FUN_0050_2787,FUN_0050_2db8,FUN_0050_2f43,FUN_0050_3683
0050:252b     FUN_0050_252b                    11  
0050:2536     FUN_0050_2536                    76  FUN_0050_24bd
0050:2582     FUN_0050_2582                    76  FUN_0050_24bd
0050:25ce     FUN_0050_25ce                    59  FUN_0050_0610
0050:2609     FUN_0050_2609                    19  FUN_0050_25ce,FUN_0050_2609
0050:261c     FUN_0050_261c                    26  FUN_0050_25ce
0050:2636     thunk_FUN_0050_2639               2  FUN_0050_25ce,FUN_0050_2609
0050:2639     FUN_0050_2639                    33  thunk_FUN_0050_2639
